delivery_id,order_id,partner_id,delivery_status,delivery_time
178,1178,93,Delivered,48
179,1179,82,Delivered,40
180,1180,25,Assigned,49
181,1181,1,Cancelled,55
182,1182,26,Cancelled,25
183,1183,35,Picked Up,24
184,1184,60,Delivered,39
185,1185,15,Picked Up,48
186,1186,96,Picked Up,39
187,1187,99,Delivered,60
188,1188,89,Assigned,55
189,1189,49,Assigned,44
190,1190,95,Delivered,45
191,1191,54,Picked Up,26
192,1192,28,Picked Up,45
193,1193,4,Delivered,58
194,1194,72,Delivered,56
195,1195,36,Delivered,50
196,1196,97,Delivered,59
197,1197,24,Delivered,48
198,1198,13,Assigned,27
199,1199,16,Cancelled,54
200,1200,20,Delivered,51
201,1201,36,Delivered,60
202,1202,23,Picked Up,29
203,1203,18,Assigned,59
204,1204,1,Cancelled,40
205,1205,24,Delivered,30
206,1206,88,Assigned,31
207,1207,94,Delivered,47
208,1208,47,Delivered,36
209,1209,48,Delivered,19
210,1210,70,Assigned,25
211,1211,41,Assigned,48
212,1212,31,Delivered,31
213,1213,99,Delivered,18
214,1214,30,Delivered,40
215,1215,29,Delivered,27
216,1216,21,Assigned,24
217,1217,56,Delivered,27
218,1218,42,Picked Up,34
219,1219,79,Delivered,34
220,1220,58,Assigned,49
221,1221,49,Delivered,43
222,1222,13,Delivered,47
223,1223,75,Picked Up,42
224,1224,84,Delivered,20
225,1225,25,Delivered,38
226,1226,8,Assigned,41
227,1227,23,Cancelled,49
228,1228,53,Assigned,35
229,1229,50,Delivered,55
230,1230,27,Delivered,43
231,1231,50,Delivered,58
232,1232,88,Assigned,49
233,1233,23,Delivered,16
234,1234,74,Delivered,38
235,1235,70,Delivered,26
236,1236,67,Assigned,56
237,1237,82,Delivered,40
238,1238,60,Picked Up,28
239,1239,51,Delivered,19
240,1240,51,Delivered,30
241,1241,3,Cancelled,50
242,1242,38,Delivered,17
243,1243,14,Delivered,25
244,1244,96,Delivered,24
245,1245,66,Cancelled,15
246,1246,31,Delivered,59
247,1247,52,Delivered,53
248,1248,7,Assigned,33
249,1249,86,Delivered,33
250,1250,74,Delivered,55
251,1251,12,Delivered,30
252,1252,33,Cancelled,56
253,1253,91,Delivered,58
254,1254,5,Delivered,21
255,1255,8,Picked Up,59
256,1256,13,Delivered,41
257,1257,31,Cancelled,39
258,1258,56,Delivered,24
259,1259,68,Delivered,38
260,1260,41,Delivered,19
261,1261,38,Cancelled,15
262,1262,69,Picked Up,36
263,1263,59,Assigned,39
264,1264,20,Delivered,51
265,1265,46,Delivered,21
266,1266,82,Delivered,47
267,1267,40,Assigned,42
268,1268,11,Delivered,39
269,1269,94,Cancelled,41
270,1270,96,Delivered,57
271,1271,8,Delivered,39
272,1272,1,Delivered,41
273,1273,76,Delivered,55
274,1274,14,Delivered,31
275,1275,79,Picked Up,36
276,1276,26,Assigned,55
277,1277,80,Delivered,39
278,1278,18,Delivered,32
279,1279,10,Delivered,41
280,1280,50,Picked Up,46
281,1281,70,Assigned,33
282,1282,41,Delivered,29
283,1283,19,Delivered,42
284,1284,45,Delivered,26
285,1285,88,Delivered,24
286,1286,28,Cancelled,48
287,1287,74,Delivered,37
288,1288,35,Picked Up,31
289,1289,2,Delivered,19
290,1290,9,Picked Up,15
291,1291,88,Delivered,25
292,1292,79,Assigned,38
293,1293,4,Delivered,30
294,1294,85,Picked Up,16
295,1295,45,Picked Up,16
296,1296,55,Delivered,43
297,1297,13,Delivered,49
298,1298,44,Delivered,29
299,1299,85,Delivered,22
300,1300,64,Cancelled,20
301,1301,33,Delivered,51
302,1302,98,Delivered,37
303,1303,33,Picked Up,19
304,1304,22,Assigned,50
305,1305,89,Delivered,33
306,1306,97,Cancelled,52
307,1307,23,Delivered,15
308,1308,24,Assigned,57
309,1309,71,Delivered,37
310,1310,84,Delivered,18
311,1311,66,Assigned,58
312,1312,46,Delivered,22
313,1313,57,Cancelled,40
314,1314,71,Delivered,22
315,1315,21,Delivered,53
316,1316,56,Delivered,36
317,1317,6,Cancelled,35
318,1318,98,Delivered,45
319,1319,95,Delivered,60
320,1320,18,Delivered,53
321,1321,9,Delivered,53
322,1322,38,Delivered,18
323,1323,32,Cancelled,59
324,1324,97,Delivered,38
325,1325,6,Picked Up,25
326,1326,63,Delivered,53
327,1327,51,Cancelled,24
328,1328,31,Assigned,29
329,1329,65,Delivered,33
330,1330,7,Cancelled,58
331,1331,30,Delivered,56
332,1332,51,Delivered,31
333,1333,27,Assigned,52
334,1334,76,Delivered,24
335,1335,94,Assigned,37
336,1336,95,Assigned,16
337,1337,25,Delivered,16
338,1338,67,Delivered,55
339,1339,33,Cancelled,21
340,1340,37,Assigned,41
341,1341,84,Delivered,23
342,1342,76,Picked Up,17
343,1343,66,Delivered,16
344,1344,43,Delivered,32
345,1345,86,Assigned,46
346,1346,85,Delivered,36
347,1347,75,Delivered,35
348,1348,16,Assigned,23
349,1349,28,Delivered,46
350,1350,22,Delivered,18
351,1351,79,Delivered,45
352,1352,33,Delivered,31
353,1353,61,Assigned,59
354,1354,30,Assigned,21
355,1355,89,Delivered,45
356,1356,16,Delivered,31
357,1357,92,Delivered,16
358,1358,26,Picked Up,31
359,1359,46,Delivered,48
360,1360,87,Assigned,59
361,1361,36,Assigned,40
362,1362,43,Picked Up,46
363,1363,97,Delivered,45
364,1364,38,Cancelled,32
365,1365,77,Delivered,40
366,1366,49,Delivered,43
367,1367,18,Delivered,40
368,1368,49,Picked Up,18
369,1369,99,Delivered,45
370,1370,34,Delivered,24
371,1371,1,Assigned,21
372,1372,70,Delivered,27
373,1373,56,Assigned,53
374,1374,27,Assigned,55
375,1375,20,Delivered,23
376,1376,69,Picked Up,52
377,1377,81,Delivered,15
378,1378,40,Delivered,52
379,1379,32,Cancelled,38
380,1380,15,Delivered,16
381,1381,18,Delivered,53
382,1382,100,Picked Up,36
383,1383,62,Delivered,38
384,1384,17,Picked Up,42
385,1385,54,Assigned,33
386,1386,72,Delivered,28
387,1387,86,Picked Up,21
388,1388,55,Delivered,40
389,1389,61,Assigned,19
390,1390,59,Delivered,24
391,1391,34,Cancelled,56
392,1392,71,Delivered,30
393,1393,44,Delivered,46
394,1394,50,Delivered,25
395,1395,79,Cancelled,47
396,1396,30,Cancelled,54
397,1397,29,Delivered,28
398,1398,80,Cancelled,37
399,1399,31,Assigned,38
400,1400,18,Picked Up,59
401,1401,51,Delivered,48
402,1402,84,Assigned,37
403,1403,25,Delivered,53
404,1404,72,Cancelled,44
405,1405,31,Delivered,60
406,1406,4,Delivered,20
407,1407,33,Assigned,53
408,1408,63,Cancelled,34
409,1409,59,Delivered,32
410,1410,94,Delivered,27
411,1411,87,Cancelled,56
412,1412,58,Cancelled,44
413,1413,5,Delivered,52
414,1414,79,Delivered,51
415,1415,54,Delivered,49
416,1416,9,Assigned,34
417,1417,47,Cancelled,39
418,1418,44,Assigned,45
419,1419,58,Delivered,54
420,1420,50,Delivered,17
421,1421,85,Delivered,58
422,1422,33,Delivered,36
423,1423,61,Delivered,40
424,1424,70,Cancelled,52
425,1425,13,Delivered,48
426,1426,96,Delivered,33
427,1427,15,Picked Up,58
428,1428,64,Delivered,42
429,1429,80,Picked Up,32
430,1430,28,Delivered,45
431,1431,92,Delivered,21
432,1432,88,Assigned,57
433,1433,65,Delivered,57
434,1434,59,Cancelled,19
435,1435,87,Picked Up,42
436,1436,74,Assigned,21
437,1437,50,Delivered,47
438,1438,60,Delivered,29
439,1439,53,Delivered,34
440,1440,98,Delivered,22
441,1441,5,Delivered,49
442,1442,43,Delivered,50
443,1443,92,Delivered,43
444,1444,15,Delivered,39
445,1445,42,Cancelled,45
446,1446,89,Delivered,50
447,1447,9,Assigned,24
448,1448,99,Assigned,22
449,1449,22,Cancelled,46
450,1450,98,Assigned,54
451,1451,83,Cancelled,49
452,1452,66,Delivered,56
453,1453,22,Delivered,51
454,1454,87,Assigned,19
455,1455,80,Delivered,16
456,1456,82,Assigned,33
457,1457,13,Picked Up,59
458,1458,45,Picked Up,50
459,1459,100,Delivered,38
460,1460,25,Delivered,60
461,1461,30,Delivered,60
462,1462,36,Delivered,44
463,1463,54,Delivered,22
464,1464,68,Delivered,38
465,1465,73,Delivered,46
466,1466,3,Delivered,22
467,1467,56,Cancelled,54
468,1468,33,Delivered,50
469,1469,91,Cancelled,21
470,1470,35,Picked Up,34
471,1471,1,Delivered,18
472,1472,96,Picked Up,32
473,1473,5,Cancelled,43
474,1474,48,Delivered,17
475,1475,20,Delivered,22
476,1476,7,Picked Up,42
477,1477,40,Cancelled,17
478,1478,57,Cancelled,53
479,1479,63,Delivered,52
480,1480,53,Assigned,25
481,1481,23,Picked Up,50
482,1482,65,Picked Up,36
483,1483,96,Cancelled,34
484,1484,20,Delivered,28
485,1485,96,Delivered,31
486,1486,76,Picked Up,46
487,1487,74,Cancelled,53
488,1488,20,Cancelled,38
489,1489,15,Cancelled,56
490,1490,77,Delivered,59
491,1491,25,Cancelled,41
492,1492,53,Picked Up,35
493,1493,36,Delivered,38
494,1494,66,Cancelled,44
495,1495,72,Picked Up,57
496,1496,94,Delivered,57
497,1497,62,Delivered,18
498,1498,90,Delivered,27
499,1499,76,Picked Up,59
500,1500,19,Delivered,56
501,1501,92,Assigned,18
502,1502,56,Picked Up,46
503,1503,59,Delivered,50
504,1504,42,Delivered,60
505,1505,52,Delivered,55
506,1506,14,Delivered,33
507,1507,29,Picked Up,16
508,1508,33,Delivered,25
509,1509,45,Delivered,18
510,1510,6,Delivered,22
511,1511,26,Delivered,41
512,1512,88,Delivered,46
513,1513,60,Delivered,24
514,1514,62,Cancelled,15
515,1515,57,Delivered,24
516,1516,58,Assigned,60
517,1517,95,Picked Up,44
518,1518,14,Delivered,42
519,1519,28,Picked Up,35
520,1520,2,Delivered,33
521,1521,23,Picked Up,44
522,1522,21,Assigned,53
523,1523,4,Picked Up,33
524,1524,27,Assigned,50
525,1525,81,Delivered,46
526,1526,93,Delivered,44
527,1527,51,Delivered,25
528,1528,57,Delivered,24
529,1529,95,Delivered,34
530,1530,32,Delivered,40
531,1531,82,Delivered,51
532,1532,9,Delivered,47
533,1533,40,Delivered,32
534,1534,62,Delivered,36
535,1535,54,Delivered,33
536,1536,50,Cancelled,44
537,1537,66,Delivered,56
538,1538,6,Picked Up,28
539,1539,56,Assigned,16
540,1540,51,Picked Up,21
541,1541,41,Picked Up,59
542,1542,45,Delivered,57
543,1543,24,Delivered,19
544,1544,31,Delivered,16
545,1545,90,Assigned,45
546,1546,29,Delivered,23
547,1547,20,Cancelled,58
548,1548,8,Cancelled,60
549,1549,56,Delivered,43
550,1550,56,Delivered,35
551,1551,37,Picked Up,15
552,1552,42,Delivered,55
553,1553,23,Delivered,25
554,1554,81,Picked Up,22
555,1555,89,Cancelled,41
556,1556,73,Delivered,29
557,1557,43,Delivered,59
558,1558,22,Assigned,42
559,1559,10,Delivered,50
560,1560,86,Delivered,38
561,1561,71,Delivered,30
562,1562,67,Delivered,36
563,1563,58,Delivered,26
564,1564,15,Delivered,39
565,1565,100,Cancelled,43
566,1566,72,Cancelled,56
567,1567,72,Delivered,33
568,1568,46,Delivered,38
569,1569,18,Delivered,22
570,1570,41,Delivered,16
571,1571,57,Delivered,37
572,1572,86,Delivered,46
573,1573,2,Delivered,25
574,1574,80,Delivered,17
575,1575,72,Delivered,49
576,1576,64,Cancelled,32
577,1577,38,Delivered,23
578,1578,99,Delivered,36
579,1579,87,Assigned,52
580,1580,90,Assigned,52
581,1581,56,Picked Up,26
582,1582,41,Assigned,40
583,1583,77,Delivered,40
584,1584,32,Delivered,42
585,1585,4,Delivered,39
586,1586,83,Delivered,36
587,1587,86,Delivered,19
588,1588,47,Delivered,45
589,1589,98,Assigned,43
590,1590,89,Delivered,19
591,1591,75,Delivered,45
592,1592,67,Delivered,52
593,1593,43,Delivered,19
594,1594,23,Delivered,27
595,1595,35,Cancelled,31
596,1596,43,Assigned,56
597,1597,3,Picked Up,19
598,1598,80,Delivered,42
599,1599,89,Delivered,22
600,1600,26,Delivered,41
601,1601,98,Delivered,40
602,1602,36,Picked Up,39
603,1603,10,Delivered,24
604,1604,90,Cancelled,42
605,1605,99,Delivered,30
606,1606,20,Cancelled,24
607,1607,17,Cancelled,58
608,1608,34,Cancelled,43
609,1609,6,Picked Up,58
610,1610,66,Delivered,15
611,1611,14,Delivered,48
612,1612,89,Delivered,25
613,1613,75,Picked Up,43
614,1614,10,Assigned,50
615,1615,69,Delivered,17
616,1616,100,Cancelled,50
617,1617,77,Picked Up,31
618,1618,32,Delivered,34
619,1619,71,Picked Up,56
620,1620,94,Cancelled,22
621,1621,18,Delivered,47
622,1622,15,Delivered,53
623,1623,32,Delivered,15
624,1624,67,Cancelled,16
625,1625,42,Assigned,49
626,1626,76,Assigned,15
627,1627,43,Cancelled,56
628,1628,66,Delivered,49
629,1629,16,Delivered,16
630,1630,25,Delivered,33
631,1631,92,Cancelled,16
632,1632,44,Delivered,50
633,1633,95,Delivered,59
634,1634,93,Delivered,36
635,1635,49,Picked Up,29
636,1636,44,Picked Up,48
637,1637,93,Cancelled,57
638,1638,56,Cancelled,52
639,1639,76,Delivered,55
640,1640,24,Delivered,30
641,1641,9,Delivered,41
642,1642,90,Delivered,51
643,1643,39,Delivered,16
644,1644,18,Picked Up,19
645,1645,21,Delivered,42
646,1646,58,Cancelled,42
647,1647,100,Delivered,24
648,1648,65,Delivered,24
649,1649,91,Picked Up,37
650,1650,73,Assigned,27
651,1651,51,Cancelled,25
652,1652,7,Delivered,32
653,1653,80,Assigned,50
654,1654,34,Assigned,59
655,1655,93,Delivered,53
656,1656,10,Cancelled,26
657,1657,50,Delivered,52
658,1658,20,Delivered,30
659,1659,29,Delivered,31
660,1660,96,Delivered,38
661,1661,54,Picked Up,37
662,1662,64,Picked Up,22
663,1663,98,Delivered,40
664,1664,46,Delivered,47
665,1665,81,Delivered,28
666,1666,3,Delivered,51
667,1667,80,Delivered,18
668,1668,39,Delivered,47
669,1669,73,Picked Up,40
670,1670,38,Picked Up,21
671,1671,51,Delivered,37
672,1672,6,Assigned,39
673,1673,19,Picked Up,60
674,1674,73,Delivered,27
675,1675,17,Cancelled,23
676,1676,29,Delivered,45
677,1677,19,Delivered,50
678,1678,63,Delivered,31
679,1679,13,Delivered,41
680,1680,13,Delivered,57
681,1681,73,Delivered,38
682,1682,63,Delivered,35
683,1683,70,Delivered,22
684,1684,65,Picked Up,15
685,1685,89,Delivered,47
686,1686,26,Assigned,30
687,1687,40,Delivered,48
688,1688,29,Delivered,32
689,1689,82,Cancelled,32
690,1690,19,Picked Up,55
691,1691,61,Assigned,48
692,1692,46,Assigned,49
693,1693,66,Delivered,52
694,1694,23,Delivered,42
695,1695,79,Delivered,38
696,1696,49,Assigned,27
697,1697,23,Delivered,57
698,1698,77,Delivered,24
699,1699,59,Delivered,59
700,1700,21,Delivered,30
701,1701,54,Assigned,30
702,1702,11,Cancelled,26
703,1703,61,Delivered,29
704,1704,33,Delivered,49
705,1705,27,Assigned,53
706,1706,91,Cancelled,37
707,1707,44,Picked Up,45
708,1708,72,Cancelled,17
709,1709,21,Cancelled,23
710,1710,66,Delivered,20
711,1711,59,Delivered,20
712,1712,87,Delivered,41
713,1713,17,Assigned,33
714,1714,47,Cancelled,16
715,1715,18,Picked Up,39
716,1716,85,Cancelled,51
717,1717,37,Delivered,44
718,1718,29,Cancelled,38
719,1719,86,Delivered,32
720,1720,13,Cancelled,56
721,1721,37,Picked Up,30
722,1722,80,Delivered,16
723,1723,96,Delivered,26
724,1724,31,Picked Up,59
725,1725,16,Cancelled,48
726,1726,56,Cancelled,57
727,1727,96,Delivered,44
728,1728,74,Picked Up,18
729,1729,55,Delivered,55
730,1730,63,Picked Up,31
731,1731,61,Delivered,56
732,1732,82,Delivered,18
733,1733,92,Delivered,20
734,1734,85,Cancelled,18
735,1735,38,Delivered,50
736,1736,30,Assigned,31
737,1737,32,Picked Up,44
738,1738,72,Delivered,40
739,1739,3,Cancelled,20
740,1740,83,Assigned,43
741,1741,61,Picked Up,45
742,1742,80,Cancelled,37
743,1743,83,Delivered,27
744,1744,96,Delivered,24
745,1745,18,Delivered,28
746,1746,76,Delivered,54
747,1747,17,Delivered,31
748,1748,17,Delivered,46
749,1749,62,Delivered,26
750,1750,59,Delivered,31
751,1751,47,Delivered,58
752,1752,44,Delivered,25
753,1753,14,Picked Up,48
754,1754,68,Delivered,26
755,1755,12,Delivered,33
756,1756,68,Delivered,42
757,1757,5,Delivered,60
758,1758,49,Delivered,48
759,1759,30,Assigned,40
760,1760,92,Cancelled,49
761,1761,63,Assigned,47
762,1762,39,Delivered,16
763,1763,98,Picked Up,57
764,1764,37,Delivered,36
765,1765,89,Picked Up,59
766,1766,76,Cancelled,50
767,1767,32,Delivered,57
768,1768,65,Cancelled,53
769,1769,40,Delivered,45
770,1770,8,Delivered,51
771,1771,90,Picked Up,30
772,1772,88,Assigned,26
773,1773,68,Delivered,30
774,1774,17,Picked Up,55
775,1775,7,Delivered,35
776,1776,40,Delivered,20
777,1777,54,Picked Up,57
778,1778,91,Picked Up,45
779,1779,76,Delivered,41
780,1780,96,Delivered,56
781,1781,58,Assigned,57
782,1782,9,Assigned,51
783,1783,67,Cancelled,42
784,1784,28,Picked Up,41
785,1785,96,Delivered,29
786,1786,74,Delivered,54
787,1787,92,Delivered,55
788,1788,42,Cancelled,52
789,1789,18,Picked Up,19
790,1790,15,Picked Up,50
791,1791,43,Picked Up,43
792,1792,23,Delivered,55
793,1793,43,Picked Up,18
794,1794,12,Assigned,32
795,1795,59,Delivered,46
796,1796,63,Assigned,42
797,1797,18,Delivered,58
798,1798,26,Assigned,52
799,1799,49,Cancelled,37
800,1800,38,Cancelled,51
801,1801,80,Delivered,58
802,1802,60,Assigned,20
803,1803,91,Delivered,50
804,1804,81,Picked Up,24
805,1805,18,Delivered,17
806,1806,71,Picked Up,56
807,1807,16,Delivered,16
808,1808,13,Picked Up,31
809,1809,23,Assigned,41
810,1810,86,Delivered,53
811,1811,8,Delivered,26
812,1812,41,Delivered,35
813,1813,63,Delivered,52
814,1814,44,Delivered,31
815,1815,75,Cancelled,17
816,1816,73,Picked Up,40
817,1817,57,Delivered,55
818,1818,90,Cancelled,57
819,1819,2,Picked Up,47
820,1820,2,Delivered,60
821,1821,34,Picked Up,37
822,1822,66,Picked Up,45
823,1823,24,Delivered,25
824,1824,85,Delivered,45
825,1825,87,Picked Up,33
826,1826,93,Picked Up,52
827,1827,51,Delivered,37
828,1828,91,Picked Up,23
829,1829,80,Delivered,48
830,1830,26,Cancelled,17
831,1831,45,Delivered,44
832,1832,16,Assigned,44
833,1833,20,Picked Up,36
834,1834,9,Delivered,56
835,1835,28,Cancelled,31
836,1836,27,Cancelled,30
837,1837,42,Delivered,42
838,1838,60,Delivered,58
839,1839,58,Picked Up,45
840,1840,64,Delivered,28
841,1841,33,Picked Up,23
842,1842,50,Cancelled,36
843,1843,69,Cancelled,45
844,1844,42,Delivered,28
845,1845,86,Delivered,15
846,1846,39,Picked Up,56
847,1847,76,Delivered,53
848,1848,12,Delivered,15
849,1849,61,Delivered,19
850,1850,81,Picked Up,55
851,1851,24,Cancelled,47
852,1852,4,Cancelled,41
853,1853,11,Picked Up,51
854,1854,77,Delivered,45
855,1855,34,Delivered,40
856,1856,91,Delivered,53
857,1857,98,Delivered,57
858,1858,35,Delivered,24
859,1859,96,Delivered,44
860,1860,16,Cancelled,25
861,1861,38,Cancelled,29
862,1862,48,Delivered,42
863,1863,65,Picked Up,30
864,1864,95,Delivered,28
865,1865,20,Delivered,27
866,1866,50,Cancelled,51
867,1867,48,Picked Up,24
868,1868,47,Delivered,49
869,1869,58,Picked Up,39
870,1870,63,Delivered,35
871,1871,94,Delivered,45
872,1872,72,Cancelled,20
873,1873,96,Delivered,57
874,1874,64,Delivered,48
875,1875,89,Delivered,56
876,1876,77,Delivered,44
877,1877,50,Delivered,41
878,1878,96,Picked Up,19
879,1879,24,Picked Up,39
880,1880,12,Delivered,54
881,1881,90,Picked Up,53
882,1882,27,Picked Up,40
883,1883,86,Delivered,21
884,1884,99,Assigned,40
885,1885,23,Cancelled,43
886,1886,43,Delivered,59
887,1887,39,Delivered,29
888,1888,75,Cancelled,17
889,1889,75,Delivered,19
890,1890,81,Assigned,36
891,1891,51,Delivered,28
892,1892,3,Delivered,56
893,1893,51,Delivered,39
894,1894,19,Picked Up,22
895,1895,7,Delivered,58
896,1896,10,Delivered,31
897,1897,8,Delivered,47
898,1898,60,Cancelled,60
899,1899,83,Delivered,34
900,1900,65,Delivered,20
901,1901,27,Picked Up,56
902,1902,47,Cancelled,27
903,1903,89,Picked Up,45
904,1904,96,Picked Up,57
905,1905,81,Delivered,53
906,1906,54,Delivered,25
907,1907,62,Picked Up,25
908,1908,98,Cancelled,53
909,1909,41,Assigned,49
910,1910,51,Delivered,44
911,1911,61,Picked Up,18
912,1912,43,Delivered,34
913,1913,67,Assigned,52
914,1914,92,Cancelled,17
915,1915,61,Delivered,26
916,1916,89,Assigned,53
917,1917,50,Assigned,53
918,1918,13,Delivered,33
919,1919,91,Assigned,26
920,1920,62,Delivered,18
921,1921,85,Delivered,51
922,1922,32,Delivered,59
923,1923,14,Delivered,23
924,1924,51,Assigned,51
925,1925,25,Delivered,31
926,1926,54,Delivered,25
927,1927,9,Delivered,42
928,1928,98,Assigned,49
929,1929,37,Delivered,38
930,1930,64,Delivered,20
931,1931,89,Delivered,53
932,1932,9,Assigned,32
933,1933,23,Picked Up,55
934,1934,83,Delivered,19
935,1935,93,Assigned,37
936,1936,53,Cancelled,20
937,1937,61,Delivered,57
938,1938,47,Delivered,50
939,1939,77,Delivered,24
940,1940,29,Picked Up,38
941,1941,47,Delivered,59
942,1942,70,Delivered,50
943,1943,63,Picked Up,16
944,1944,56,Delivered,15
945,1945,86,Delivered,24
946,1946,71,Cancelled,60
947,1947,23,Assigned,29
948,1948,31,Delivered,24
949,1949,70,Cancelled,43
950,1950,68,Assigned,46
951,1951,14,Delivered,27
952,1952,45,Cancelled,53
953,1953,84,Delivered,34
954,1954,63,Delivered,41
955,1955,68,Picked Up,34
956,1956,95,Delivered,32
957,1957,53,Delivered,58
958,1958,47,Delivered,17
959,1959,59,Picked Up,24
960,1960,67,Delivered,21
961,1961,98,Delivered,22
962,1962,71,Delivered,58
963,1963,7,Assigned,49
964,1964,7,Assigned,45
965,1965,41,Delivered,34
966,1966,45,Cancelled,16
967,1967,96,Picked Up,36
968,1968,70,Delivered,56
969,1969,2,Delivered,48
970,1970,2,Delivered,15
971,1971,72,Picked Up,50
972,1972,88,Cancelled,41
973,1973,63,Assigned,46
974,1974,34,Delivered,46
975,1975,56,Delivered,52
